Source,TPR_sens,TNR_spec,FNR,FPR,Delta_TPR_sens_vs_Human,Delta_TNR_spec_vs_Human,Delta_FNR_vs_Human,Delta_FPR_vs_Human
AWS,0.9425101214574898,0.49604743083003955,0.05748987854251013,0.5039525691699605,-0.020782726045884048,0.00830039525691706,0.020782726045883937,-0.00830039525691706
AssemblyAI,0.8959514170040486,0.5766798418972332,0.10404858299595143,0.4233201581027668,-0.06734143049932528,0.08893280632411071,0.06734143049932524,-0.08893280632411071
CrisperWhisper,0.9372469635627529,0.4877470355731225,0.06275303643724697,0.5122529644268775,-0.026045883940620906,0.0,0.02604588394062078,0.0
Google,0.9740890688259108,0.4422924901185771,0.025910931174089068,0.5577075098814229,0.010796221322536992,-0.045454545454545414,-0.010796221322537124,0.045454545454545414
Human,0.9632928475033739,0.4877470355731225,0.03670715249662619,0.5122529644268775,0.0,0.0,0.0,0.0
Meta,0.8701754385964913,0.5498023715415019,0.1298245614035088,0.45019762845849803,-0.09311740890688258,0.06205533596837942,0.0931174089068826,-0.06205533596837948
Microsoft,0.8958164642375168,0.5051383399209486,0.10418353576248314,0.49486166007905136,-0.06747638326585703,0.017391304347826098,0.06747638326585695,-0.017391304347826153
Nemo,0.9164642375168691,0.5138339920948616,0.08353576248313091,0.48616600790513836,-0.04682860998650473,0.02608695652173909,0.04682860998650472,-0.026086956521739146
Whisper,0.89055330634278,0.5588932806324111,0.10944669365721997,0.44110671936758894,-0.07273954116059389,0.07114624505928857,0.07273954116059378,-0.07114624505928857
