fold,Source,TP,FN,TN,FP,TPR_sens,TNR_spec,FNR,FPR
1,AWS,37.0,2.0,14.0,9.0,0.9487179487179487,0.6086956521739131,0.05128205128205132,0.3913043478260869
1,AssemblyAI,33.0,6.0,15.0,8.0,0.8461538461538461,0.6521739130434783,0.15384615384615385,0.34782608695652173
1,CrisperWhisper,37.0,2.0,13.0,10.0,0.9487179487179487,0.5652173913043478,0.05128205128205132,0.4347826086956522
1,Google,37.0,2.0,12.0,11.0,0.9487179487179487,0.5217391304347826,0.05128205128205132,0.4782608695652174
1,Human,38.0,1.0,13.0,10.0,0.9743589743589743,0.5652173913043478,0.02564102564102566,0.4347826086956522
1,Meta,31.0,8.0,15.0,8.0,0.7948717948717948,0.6521739130434783,0.20512820512820518,0.34782608695652173
1,Microsoft,34.0,5.0,13.0,10.0,0.8717948717948718,0.5652173913043478,0.1282051282051282,0.4347826086956522
1,Nemo,36.0,3.0,14.0,9.0,0.9230769230769231,0.6086956521739131,0.07692307692307687,0.3913043478260869
1,Whisper,34.0,5.0,15.0,8.0,0.8717948717948718,0.6521739130434783,0.1282051282051282,0.34782608695652173
2,AWS,38.0,1.0,13.0,9.0,0.9743589743589743,0.5909090909090909,0.02564102564102566,0.40909090909090906
2,AssemblyAI,37.0,2.0,15.0,7.0,0.9487179487179487,0.6818181818181818,0.05128205128205132,0.31818181818181823
2,CrisperWhisper,38.0,1.0,12.0,10.0,0.9743589743589743,0.5454545454545454,0.02564102564102566,0.4545454545454546
2,Google,38.0,1.0,9.0,13.0,0.9743589743589743,0.4090909090909091,0.02564102564102566,0.5909090909090908
2,Human,39.0,0.0,12.0,10.0,1.0,0.5454545454545454,0.0,0.4545454545454546
2,Meta,36.0,3.0,14.0,8.0,0.9230769230769231,0.6363636363636364,0.07692307692307687,0.36363636363636365
2,Microsoft,38.0,1.0,13.0,9.0,0.9743589743589743,0.5909090909090909,0.02564102564102566,0.40909090909090906
2,Nemo,38.0,1.0,12.0,10.0,0.9743589743589743,0.5454545454545454,0.02564102564102566,0.4545454545454546
2,Whisper,37.0,2.0,14.0,8.0,0.9487179487179487,0.6363636363636364,0.05128205128205132,0.36363636363636365
3,AWS,39.0,0.0,10.0,12.0,1.0,0.45454545454545453,0.0,0.5454545454545454
3,AssemblyAI,38.0,1.0,14.0,8.0,0.9743589743589743,0.6363636363636364,0.02564102564102566,0.36363636363636365
3,CrisperWhisper,39.0,0.0,12.0,10.0,1.0,0.5454545454545454,0.0,0.4545454545454546
3,Google,39.0,0.0,10.0,12.0,1.0,0.45454545454545453,0.0,0.5454545454545454
3,Human,39.0,0.0,12.0,10.0,1.0,0.5454545454545454,0.0,0.4545454545454546
3,Meta,37.0,2.0,13.0,9.0,0.9487179487179487,0.5909090909090909,0.05128205128205132,0.40909090909090906
3,Microsoft,37.0,2.0,11.0,11.0,0.9487179487179487,0.5,0.05128205128205132,0.5
3,Nemo,38.0,1.0,12.0,10.0,0.9743589743589743,0.5454545454545454,0.02564102564102566,0.4545454545454546
3,Whisper,38.0,1.0,14.0,8.0,0.9743589743589743,0.6363636363636364,0.02564102564102566,0.36363636363636365
4,AWS,34.0,4.0,9.0,14.0,0.8947368421052632,0.391304347826087,0.10526315789473684,0.6086956521739131
4,AssemblyAI,34.0,4.0,11.0,12.0,0.8947368421052632,0.4782608695652174,0.10526315789473684,0.5217391304347826
4,CrisperWhisper,34.0,4.0,9.0,14.0,0.8947368421052632,0.391304347826087,0.10526315789473684,0.6086956521739131
4,Google,37.0,1.0,9.0,14.0,0.9736842105263158,0.391304347826087,0.02631578947368418,0.6086956521739131
4,Human,35.0,3.0,9.0,14.0,0.9210526315789473,0.391304347826087,0.07894736842105265,0.6086956521739131
4,Meta,35.0,3.0,10.0,13.0,0.9210526315789473,0.43478260869565216,0.07894736842105265,0.5652173913043479
4,Microsoft,33.0,5.0,11.0,12.0,0.868421052631579,0.4782608695652174,0.13157894736842102,0.5217391304347826
4,Nemo,34.0,4.0,10.0,13.0,0.8947368421052632,0.43478260869565216,0.10526315789473684,0.5652173913043479
4,Whisper,33.0,5.0,11.0,12.0,0.868421052631579,0.4782608695652174,0.13157894736842102,0.5217391304347826
5,AWS,34.0,4.0,10.0,13.0,0.8947368421052632,0.43478260869565216,0.10526315789473684,0.5652173913043479
5,AssemblyAI,31.0,7.0,10.0,13.0,0.8157894736842105,0.43478260869565216,0.1842105263157895,0.5652173913043479
5,CrisperWhisper,33.0,5.0,9.0,14.0,0.868421052631579,0.391304347826087,0.13157894736842102,0.6086956521739131
5,Google,37.0,1.0,10.0,13.0,0.9736842105263158,0.43478260869565216,0.02631578947368418,0.5652173913043479
5,Human,35.0,3.0,9.0,14.0,0.9210526315789473,0.391304347826087,0.07894736842105265,0.6086956521739131
5,Meta,29.0,9.0,10.0,13.0,0.7631578947368421,0.43478260869565216,0.23684210526315785,0.5652173913043479
5,Microsoft,31.0,7.0,9.0,14.0,0.8157894736842105,0.391304347826087,0.1842105263157895,0.6086956521739131
5,Nemo,31.0,7.0,10.0,13.0,0.8157894736842105,0.43478260869565216,0.1842105263157895,0.5652173913043479
5,Whisper,30.0,8.0,9.0,14.0,0.7894736842105263,0.391304347826087,0.21052631578947367,0.6086956521739131
