Source,ttr_effect,pronoun_ratio_effect,content_ratio_effect,mean_word_len_effect,delta_ttr_effect_vs_human,delta_pronoun_ratio_effect_vs_human,delta_content_ratio_effect_vs_human,delta_mean_word_len_effect_vs_human
AWS,-0.061320485149062964,0.03945048952270108,0.06444938522059374,-0.28012991051937775,0.018456401393020072,0.006856957935155755,-0.010394610919744696,-0.020931498844775298
AssemblyAI,-0.03822816955722119,0.04109578791530108,0.0620024963079443,-0.1421198205712595,0.041548716984861844,0.008502256327755753,-0.012841499832394132,0.11707859110334295
CrisperWhisper,-0.08442214983638985,0.03442724421520056,0.06491189760908245,-0.29617360792158287,-0.004645263294306812,0.0018337126276552346,-0.009932098531255984,-0.036975196246980424
Google,-0.07002577753335137,0.03404525304278459,0.06349774624472637,-0.2799293576147903,0.009751109008731662,0.001451721455239266,-0.01134624989561206,-0.020730945940187873
Human,-0.07977688654208304,0.03259353158754533,0.07484399614033843,-0.25919841167460245,0.0,0.0,0.0,0.0
Meta,-0.004788553531096751,0.0233458114842144,0.06844129021835788,-0.23873870314164947,0.07498833301098629,-0.009247720103330928,-0.006402705921980556,0.02045970853295298
Microsoft,-0.04944352724345047,0.038527633187131344,0.04759243665600443,-0.2122323147743561,0.030333359298632567,0.005934101599586017,-0.027251559484333998,0.046966096900246335
Nemo,-0.05800943576236983,0.03544543922526956,0.06435932102446718,-0.24252249634807033,0.021767450779713204,0.0028519076377242353,-0.010484675115871256,0.01667591532653212
Whisper,-0.05447801560835153,0.038963955881525195,0.06323095532514422,-0.16422900681104613,0.02529887093373151,0.006370424293979868,-0.011613040815194209,0.09496940486355632
