"contrast","Source","estimate","SE","df","t.ratio","p.value"
"OLD - DEM","Human",-0.0748439961398018,0.00950482379194375,411.227480945769,-7.8743170602741,3.07888398597134e-14
"OLD - DEM","AssemblyAI",-0.0620319776568391,0.00950482379194387,411.227480945842,-6.52636798058438,1.98620554117319e-10
"OLD - DEM","AWS",-0.0643820393576278,0.00950482379194387,411.227480945842,-6.773617351244,4.35895357321688e-11
"OLD - DEM","CrisperWhisper",-0.0683977699706784,0.00950482379194387,411.227480945842,-7.19611130809718,2.95979230990285e-12
"OLD - DEM","Google",-0.0637483104793163,0.00950482379194387,411.227480945842,-6.70694290338642,6.58926211079578e-11
"OLD - DEM","Meta",-0.0684412902178922,0.00950482379194387,411.227480945842,-7.20069006180861,2.87285190360819e-12
"OLD - DEM","Microsoft",-0.0494337132389239,0.00950482379194387,411.227480945855,-5.20090790960513,3.13397171580358e-07
"OLD - DEM","Nemo",-0.0643710968129784,0.00950482379194387,411.227480945855,-6.77246608901244,4.39028107738602e-11
"OLD - DEM","Whisper",-0.0637348306890012,0.00950482379194387,411.227480945855,-6.70552469820869,6.64720684705105e-11
